name,TDP,vendor
NVIDIA GeForce RTX 3060,170 W,NVIDIA
NVIDIA GeForce RTX 3090,350 W,NVIDIA
NVIDIA GeForce RTX 3060 Ti,200 W,NVIDIA
NVIDIA GeForce GTX 1050 Ti,75 W,NVIDIA
NVIDIA GeForce RTX 3080,320 W,NVIDIA
NVIDIA GeForce RTX 3070,220 W,NVIDIA
NVIDIA GeForce GTX 1650,75 W,NVIDIA
NVIDIA GeForce GTX 970,148 W,NVIDIA
NVIDIA GeForce GTX 960,120 W,NVIDIA
NVIDIA GeForce RTX 2060,160 W,NVIDIA
NVIDIA GeForce GTX 750 Ti,60 W,NVIDIA
NVIDIA GeForce GTX 1060 6 GB,120 W,NVIDIA
NVIDIA GeForce GT 1030,30 W,NVIDIA
NVIDIA GeForce RTX 3080 Ti,350 W,NVIDIA
NVIDIA T600,40 W,NVIDIA
NVIDIA GeForce GTX 1080 Ti,250 W,NVIDIA
NVIDIA GeForce RTX 3070 Ti,290 W,NVIDIA
NVIDIA GeForce GT 730,38 W,NVIDIA
NVIDIA GeForce GTX 1070,150 W,NVIDIA
NVIDIA GeForce GTX 550 Ti,116 W,NVIDIA
NVIDIA GeForce 210,31 W,NVIDIA
NVIDIA GeForce RTX 3050,90 W,NVIDIA
NVIDIA GeForce GTX 1050,75 W,NVIDIA
NVIDIA GeForce GTX 1660 SUPER,125 W,NVIDIA
NVIDIA GeForce GTX 1080,180 W,NVIDIA
NVIDIA GeForce GTX 1660 Ti,120 W,NVIDIA
NVIDIA GeForce GTX 1650 SUPER,100 W,NVIDIA
NVIDIA GeForce GTX 760,170 W,NVIDIA
NVIDIA GeForce RTX 2080 Ti,250 W,NVIDIA
NVIDIA GeForce GTX 980 Ti,250 W,NVIDIA
NVIDIA GeForce GTX 660,140 W,NVIDIA
NVIDIA GeForce GT 710,19 W,NVIDIA
NVIDIA GeForce GTX 1660,120 W,NVIDIA
NVIDIA GeForce GTX 950,90 W,NVIDIA
NVIDIA GeForce GTX 980,165 W,NVIDIA
NVIDIA GeForce GTX 770,230 W,NVIDIA
NVIDIA GeForce GTS 450,106 W,NVIDIA
NVIDIA GeForce GTX 650,65 W,NVIDIA
NVIDIA GeForce GTX 580,244 W,NVIDIA
NVIDIA GeForce RTX 2070,175 W,NVIDIA
AMD Radeon RX 6600 XT,160 W,AMD
AMD Radeon RX 580,185 W,AMD
AMD Radeon RX 570,150 W,AMD
AMD Radeon RX 6600 XT,160 W,AMD
AMD Radeon RX 580,185 W,AMD
AMD Radeon RX 570,150 W,AMD
AMD Radeon RX 6900 XT,300 W,AMD
AMD Radeon RX 6700 XT,230 W,AMD
AMD Radeon Vega 8,65 W,AMD
AMD Radeon RX 560,75 W,AMD
AMD Radeon RX 550,50 W,AMD
AMD Radeon RX 6600,132 W,AMD
Intel UHD Graphics 770,15 W,Intel
